Link;x;y;00:00:00;01:00:00;02:00:00;03:00:00;04:00:00;05:00:00;06:00:00;07:00:00;08:00:00;09:00:00;10:00:00;11:00:00;12:00:00;13:00:00;14:00:00;15:00:00;16:00:00;17:00:00;18:00:00;19:00:00;20:00:00;21:00:00;22:00:00;23:00:00
6717;453364.64699551574;5737549.4629826825;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
5869;453758.6314539634;5730915.975625219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
4539;456970.51154354354;5734588.274149349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
6716;453349.4095274554;5737562.1506454;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
4550;456695.6900583637;5736790.864466328;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;5;5;3;1;0;0;0;0;0
6731;453597.89864954294;5730671.800602877;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;2;3;2;0;0;0;0;0;0
5884;453597.51942577073;5734703.888641891;0;0;0;0;0;3;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1044;455388.9680300889;5734427.160577658;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
3222;453662.5431893398;5732180.512126361;0;0;0;0;0;0;4;12;13;1;0;0;0;0;1;14;10;5;1;0;0;0;0;0
2374;452670.41203566926;5739260.033479245;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;3;3;1;0;1;0;0;0;0
1043;455156.8195620239;5734367.136920858;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
3221;453445.3430284215;5732226.493001091;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
1042;455221.49991305673;5734404.166552088;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
3220;453566.65897412266;5732199.758225823;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
3219;453475.2920495581;5732358.1410305025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
3218;453445.3430284215;5732226.493001091;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0
3216;453661.3468581438;5732470.121064749;0;0;0;0;0;0;1;3;4;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0
612;457638.35142054263;5740246.262935111;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0
5874;453706.3554683487;5730306.451859963;0;0;0;0;0;0;1;3;5;1;0;0;1;0;1;2;2;0;1;0;0;0;0;0
3696;452444.06925484905;5733153.436862349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
4543;456680.996546846;5736297.417515062;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
3697;451931.406932525;5733832.50176344;0;0;0;0;0;0;2;2;4;0;0;0;0;0;0;2;5;2;0;1;0;0;0;0
4544;456637.8515564959;5736466.206497909;0;0;0;0;0;0;0;4;5;1;0;0;0;0;0;3;3;1;0;1;0;0;0;0
5875;453720.94040210376;5730604.657287818;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
6724;453645.1343963489;5735268.033193997;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4545;456686.16568939143;5736360.08182453;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
5876;453702.09496618743;5730254.737913701;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
8900;455877.7775651513;5731834.5145770935;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
5877;453706.3554683487;5730306.451859963;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
4547;456637.8515564959;5736466.206497909;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
6726;454855.664636488;5732234.02398554;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
4548;456587.8637274469;5736612.398371281;0;0;0;0;0;0;0;3;1;1;0;0;0;0;1;4;3;0;0;0;0;0;0;0
8906;456041.80282733694;5731858.006433194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
