vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
taxi185;209089.74;202498.56;6591.18;479410.08
taxi186;61632.65;58112.66;3519.99;115582.34
taxi187;196980.71;183434.13;13546.58;442948.59
taxi188;108057.67;103912.24;4145.44;203589.01
taxi50;88959.02;85180.57;3778.45;184274.73
taxi52;123130.22;122494.07;636.15;292202.71
taxi51;109534.83;97148.66;12386.18;210265.12
taxi54;116701.3;116002.07;699.22;279272.33
taxi53;92083.47;85398.85;6684.62;179821.16
taxi56;90834.87;85476.66;5358.2;147781.08
taxi55;100180.82;94864.13;5316.69;215430.97
taxi58;71958.21;65540.48;6417.73;143301.33
taxi57;65661.03;61443.58;4217.46;137286.58
taxi59;216124.96;192710.46;23414.5;424860.26
taxi61;99462.23;91480.23;7982;224064.25
taxi60;157183.92;152982.4;4201.52;357160.13
taxi63;34714.29;33317.63;1396.65;77648.35
taxi62;126797.38;120830.9;5966.48;274090.25
taxi65;30055.27;28655.1;1400.16;78910.31
taxi64;124236.16;119757.75;4478.4;274204.29
taxi67;194880.95;185418.77;9462.18;435442.73
taxi66;169913.3;164292.47;5620.83;363226.73
taxi69;225097.18;215786.09;9311.09;480410.72
taxi68;52492.86;49988.77;2504.09;120379.08
taxi70;119379.59;107790.21;11589.38;220147.77
taxi72;216142.34;206323.14;9819.21;470449.61
taxi71;35993.03;35149.09;843.94;76373.77
taxi74;116861.57;115168.1;1693.47;294973.52
taxi73;139941.04;133279.5;6661.54;288207.25
taxi76;111209.6;103698.96;7510.63;231815.26
taxi75;25194.59;23316.29;1878.3;45409.61
taxi78;176876.27;161739.26;15137.01;358112.15
taxi77;95036.27;85136.9;9899.37;173021.24
taxi270;91280.99;87852.67;3428.33;209391.68
taxi150;144468.57;143591.12;877.45;312811.27
taxi271;77280.7;75576.05;1704.65;152679.12
taxi151;181058.18;175572.65;5485.53;441203.87
taxi272;68230.16;62953.03;5277.12;128731.91
taxi156;194241.7;179989.83;14251.87;437804.94
taxi277;78377.22;76326.88;2050.34;174271.62
taxi157;116582.2;111329.18;5253.03;248800.18
taxi278;132037.4;117811.7;14225.71;241354.9
taxi158;155535.97;152768.18;2767.79;353820.44
taxi279;197259.79;194128.76;3131.03;436341.69
taxi159;251543.04;236484.39;15058.65;583985.24
taxi152;183638.7;167229.12;16409.59;335279.49
taxi273;244747.2;238060.41;6686.8;552946.58
taxi153;184266.93;167274.17;16992.76;390946.98
taxi274;155834.4;150112.36;5722.04;340035.03
taxi154;140184.23;114688.38;25495.85;233146.29
taxi275;192996.17;189092.07;3904.1;463608.53
taxi155;66990.02;63567.79;3422.23;143703.48
taxi276;103772.04;99542.43;4229.61;213804.48
taxi260;156612.61;156276.87;335.74;370482.19
taxi140;191855.49;179451.26;12404.22;435676.51
taxi261;91613.98;82494.18;9119.8;194153.61
taxi145;122900.7;120378.94;2521.76;267723.34
taxi266;123114.71;119396.15;3718.56;273510.15
taxi146;42103.8;38600.75;3503.05;94067.12
taxi267;161672.5;154418.06;7254.44;363638.58
taxi147;110286.93;104728.14;5558.79;221025.26
taxi268;239600.67;236188.1;3412.57;560703.14
taxi148;192790.27;174480.81;18309.46;399928.86
taxi269;55821.75;51420.05;4401.7;101936.54
taxi141;116060.92;105979.69;10081.22;277428.94
taxi262;164174.1;151660.43;12513.67;349877.44
taxi142;95767.6;91970.89;3796.71;203699.36
taxi263;79297.27;75313.09;3984.18;190644.17
taxi143;205424.52;199557.26;5867.26;420739.53
taxi264;84485.52;76979.98;7505.55;131784.02
taxi144;86035.7;82900.5;3135.19;203592.39
taxi265;151836.35;140219.7;11616.65;318079.53
taxi10;184245.55;175203.42;9042.13;379065.34
taxi149;191844.73;179679.32;12165.41;378036.06
taxi12;142357.34;126626.55;15730.79;241836.29
taxi11;129635.32;121800.66;7834.66;282818.73
taxi14;150162.83;135993.72;14169.11;291855.47
