time	STAY	0 pax	1 pax	2 pax	3 pax	4 pax	5 pax	6 pax
10:35:00	207.06	5.326666666666667	9.706666666666667	9.85	7.866666666666666	6.676666666666667	3.513333333333333	0.0
10:40:00	206.67	4.513333333333334	10.366666666666667	9.5	9.686666666666667	6.336666666666667	2.8966666666666665	0.03
10:45:00	202.07666666666665	5.933333333333334	14.353333333333333	12.146666666666667	9.956666666666667	3.89	0.8933333333333333	0.75
10:50:00	203.73666666666668	5.91	12.666666666666666	12.106666666666667	10.956666666666667	3.6866666666666665	0.9366666666666666	0.0
10:55:00	202.48333333333332	6.07	12.15	12.24	10.19	5.576666666666667	1.29	0.0
11:00:00	201.43	3.78	15.563333333333333	13.57	8.023333333333333	4.98	2.6533333333333333	0.0
11:05:00	201.79333333333332	2.56	13.47	17.12	10.68	3.0233333333333334	1.0133333333333334	0.34
11:10:00	200.42	5.193333333333333	12.463333333333333	14.32	11.073333333333334	5.32	0.7233333333333334	0.4866666666666667
11:15:00	198.66	5.39	14.313333333333333	14.536666666666667	7.873333333333333	5.6466666666666665	2.493333333333333	1.0866666666666667
11:20:00	198.59333333333333	5.296666666666667	10.626666666666667	14.673333333333334	11.08	6.92	2.81	0.0
11:25:00	194.23666666666668	5.59	16.356666666666666	13.293333333333333	12.663333333333334	6.963333333333333	0.8966666666666666	0.0
11:30:00	198.11	3.453333333333333	12.736666666666666	14.726666666666667	11.946666666666667	7.823333333333333	1.2033333333333334	0.0
11:35:00	200.57	3.8266666666666667	12.816666666666666	13.333333333333334	11.736666666666666	5.93	1.7866666666666666	0.0
11:40:00	198.18666666666667	2.1	16.25	16.17	10.203333333333333	5.816666666666666	1.2733333333333334	0.0
11:45:00	200.49333333333334	3.9133333333333336	14.376666666666667	13.52	10.233333333333333	4.366666666666666	2.316666666666667	0.78
11:50:00	204.13333333333333	3.68	12.796666666666667	12.953333333333333	8.04	5.456666666666667	1.7366666666666666	1.2033333333333334
11:55:00	206.45666666666668	5.9	8.856666666666667	14.25	8.043333333333333	5.036666666666667	1.4566666666666668	0.0
12:00:00	205.50666666666666	5.09	13.676666666666666	13.686666666666667	6.816666666666666	4.543333333333333	0.68	0.0
12:05:00	209.24666666666667	3.5866666666666664	11.5	13.39	7.443333333333333	3.0933333333333333	1.74	0.0
12:10:00	204.89666666666668	6.98	13.513333333333334	9.47	8.59	5.176666666666667	1.06	0.31333333333333335
12:15:00	202.83666666666667	4.6066666666666665	13.996666666666666	12.79	8.68	5.1433333333333335	1.51	0.43666666666666665
12:20:00	204.27333333333334	3.9033333333333333	10.123333333333333	14.176666666666666	9.75	6.406666666666666	1.3666666666666667	0.0
12:25:00	201.51333333333332	4.243333333333333	11.723333333333333	11.86	12.726666666666667	5.116666666666666	2.4233333333333333	0.3933333333333333
12:30:00	200.91333333333333	1.8366666666666667	12.396666666666667	16.65	9.896666666666667	6.1433333333333335	2.1633333333333336	0.0
12:35:00	201.90666666666667	2.0166666666666666	11.323333333333334	20.25	9.843333333333334	3.29	1.3233333333333333	0.04666666666666667
12:40:00	207.05666666666667	3.1733333333333333	12.153333333333334	13.193333333333333	7.57	5.04	1.1733333333333333	0.64
12:45:00	214.79666666666665	3.8233333333333333	8.18	10.09	8.396666666666667	3.533333333333333	0.7833333333333333	0.39666666666666667
12:50:00	220.39666666666668	2.5966666666666667	12.216666666666667	6.323333333333333	4.076666666666667	2.0433333333333334	1.7833333333333334	0.5633333333333334
12:55:00	226.87	3.13	7.52	6.816666666666666	2.4133333333333336	1.2166666666666666	1.3133333333333332	0.72
13:00:00	228.35666666666665	3.19	5.426666666666667	4.9	4.703333333333333	2.0733333333333333	1.0266666666666666	0.3233333333333333
13:05:00	223.58666666666667	2.3933333333333335	7.48	5.173333333333333	5.443333333333333	4.816666666666666	0.9233333333333333	0.18333333333333332
13:10:00	225.75666666666666	2.6333333333333333	4.433333333333334	4.1866666666666665	4.823333333333333	5.166666666666667	2.34	0.66
13:15:00	225.00666666666666	2.7066666666666666	4.883333333333334	5.3933333333333335	4.876666666666667	3.5933333333333333	2.46	1.08
13:20:00	225.44666666666666	2.4166666666666665	7.01	3.6733333333333333	3.55	4.203333333333333	3.64	0.06
13:25:00	226.75333333333333	3.57	6.613333333333333	3.59	2.8966666666666665	2.5	2.8433333333333333	1.2333333333333334
13:30:00	225.85	3.6333333333333333	7.8133333333333335	3.91	3.506666666666667	3.3766666666666665	1.91	0.0
13:35:00	227.13333333333333	2.1966666666666668	5.92	4.77	5.373333333333333	3.183333333333333	1.31	0.11333333333333333
13:40:00	225.35666666666665	3.52	6.3566666666666665	3.9766666666666666	3.16	3.6733333333333333	3.37	0.5866666666666667
13:45:00	224.73333333333332	2.5933333333333333	7.42	4.963333333333333	3.2733333333333334	2.743333333333333	1.9566666666666668	2.316666666666667
13:50:00	223.39333333333335	2.4	5.5633333333333335	4.6866666666666665	7.693333333333333	3.99	2.0533333333333332	0.22
13:55:00	221.15666666666667	3.703333333333333	8.163333333333334	3.3066666666666666	3.93	5.81	2.8066666666666666	1.1233333333333333
14:00:00	222.33	3.1666666666666665	6.86	5.816666666666666	4.36	3.473333333333333	2.6066666666666665	1.3866666666666667
14:05:00	218.21	5.693333333333333	8.586666666666666	4.343333333333334	5.75	4.83	2.2266666666666666	0.36
14:10:00	215.67	4.023333333333333	12.34	7.133333333333334	5.993333333333333	3.973333333333333	0.8666666666666667	0.0
14:15:00	211.14	6.76	11.76	8.993333333333334	5.48	3.5366666666666666	2.07	0.26
14:20:00	207.05333333333334	5.276666666666666	12.77	7.363333333333333	8.333333333333334	5.53	3.3333333333333335	0.34
14:25:00	199.66	7.116666666666666	14.33	9.316666666666666	9.466666666666667	5.273333333333333	3.3366666666666664	1.5
14:30:00	191.53	7.87	19.416666666666668	8.63	10.676666666666666	7.863333333333333	2.8266666666666667	1.1866666666666668
14:35:00	188.42666666666668	6.776666666666666	20.976666666666667	11.533333333333333	9.07	7.68	4.536666666666667	1.0
14:40:00	177.77	9.433333333333334	19.783333333333335	15.973333333333333	10.716666666666667	11.713333333333333	4.61	0.0
14:45:00	167.49333333333334	11.126666666666667	19.89666666666667	17.293333333333333	19.05666666666667	9.306666666666667	4.94	0.8866666666666667
14:50:00	162.97333333333333	8.406666666666666	26.30666666666667	18.03	15.66	13.056666666666667	3.9366666666666665	1.63
14:55:00	153.36333333333334	9.826666666666666	22.786666666666665	24.116666666666667	19.956666666666667	13.96	4.093333333333334	1.8966666666666667
15:00:00	143.42	9.086666666666666	23.44	28.616666666666667	24.82	13.736666666666666	6.026666666666666	0.8533333333333334
15:05:00	135.45	9.486666666666666	27.996666666666666	29.233333333333334	21.543333333333333	18.386666666666667	6.253333333333333	1.65
15:10:00	130.64333333333335	8.653333333333334	28.433333333333334	31.176666666666666	24.493333333333332	20.133333333333333	5.08	1.3866666666666667
15:15:00	121.21666666666667	13.16	32.27	31.436666666666667	31.59	12.763333333333334	5.8566666666666665	1.7066666666666668
15:20:00	116.37333333333333	11.773333333333333	28.033333333333335	40.39333333333333	28.37	18.01	6.363333333333333	0.6833333333333333
15:25:00	109.78	14.846666666666666	31.59	32.92333333333333	32.906666666666666	19.086666666666666	6.76	2.1066666666666665
15:30:00	103.9	15.65	29.916666666666668	37.47	35.42333333333333	16.9	9.133333333333333	1.6066666666666667
15:35:00	93.72333333333333	18.676666666666666	31.636666666666667	38.306666666666665	37.723333333333336	19.38	8.953333333333333	1.6
15:40:00	87.29333333333334	13.72	36.53666666666667	43.09	36.6	23.093333333333334	8.493333333333334	1.1733333333333333
15:45:00	84.61333333333333	13.45	40.61	41.016666666666666	37.32	22.266666666666666	8.396666666666667	2.3266666666666667
15:50:00	83.5	9.61	42.32333333333333	46.67333333333333	41.86333333333334	19.356666666666666	5.703333333333333	0.97
15:55:00	89.33666666666667	9.93	37.083333333333336	47.13333333333333	36.026666666666664	23.796666666666667	5.216666666666667	1.4766666666666666
16:00:00	93.53333333333333	12.746666666666666	34.52333333333333	42.3	37.64666666666667	20.616666666666667	5.576666666666667	3.0566666666666666
16:05:00	91.18666666666667	12.06	39.65	44.833333333333336	35.28333333333333	16.173333333333332	8.31	2.5033333333333334
16:10:00	86.35333333333334	14.94	35.36	45.14666666666667	39.71666666666667	17.04	9.703333333333333	1.74
16:15:00	80.92333333333333	13.39	45.93666666666667	44.26	35.83	20.03	8.823333333333334	0.8066666666666666
16:20:00	80.44666666666667	10.63	42.92	52.64666666666667	39.13666666666666	17.046666666666667	5.04	2.1333333333333333
